Index,Year,H0,eH0,ObsType,Reference
631,2019,66.6,1.6,LCDM,"Domínguez et al., 2019, ApJ, 885, 137."
632,2019,67,3,LCDM,"Kozmanyan et al., 2019, A&A, 621, A34."
633,2019,67.4,6.1,LCDM,"Domínguez et al., 2019, ApJ, 885, 137."
634,2019,67.6,1.1,LCDM,"Cuceu et al., 2019, JCAP, 2019, 044."
635,2019,67.78,1.54,LCDM,"Zhang et al., 2019, MNRAS, 483, 1655."
636,2019,68.36,0.53,LCDM,"Zhang and Huang, 2019, CoTPh, 71, 826."
637,2019,68.44,0.7,LCDM,"Ryane et al., 2019, MNRAS, 488, 3844."
638,2019,68.8,5.25,LCDM,"Birrer et al., 2019, MNRAS, 484, 4726."
639,2019,69,1.7,LCDM,"Park and Ratra, 2019, Ap&SS, 364, 134."
640,2019,69.3,2.7,LCDM,"Jimenez et al., 2019, JCAP, 2019, 043."
641,2019,69.4,2,LCDM,"Li et al., 2019, CoTPh, 71, 421."
642,2019,71,2.8,LCDM,"Jimenez et al., 2019, JCAP, 2019, 043."
643,2019,72.9,2.2,LCDM,"Taubenberger et al., 2019, A&A, 628, L7."
644,2019,73.1,2.15,LCDM,"Taubenberger et al., 2019, A&A, 628, L7."
645,2019,74.2,2.95,LCDM,"Collett et al., 2019, PhRvL, 123, 231102."
646,2019,76.8,2.6,LCDM,"Chen et al., 2019, MNRAS, 490,"
647,2019,82.4,8.35,LCDM,"Jee et al., 2019, Science, 365, 1134."
648,2020,64.8,7.25,IND,"Howlett and Davi, 2020, MNRAS, 492, 3803."
649,2020,65.8,5.9,IND,"Kim et al., 2020, ApJ, 905, 104."
650,2020,66.2,4.3,IND,"Dietrich et al., 2020, Science, 370, 1450."
651,2020,66.8,11.3,IND,"Howlett and Davi, 2020, MNRAS, 492, 3803."
652,2020,67.46,4.75,IND,"Yang and Gong, 2020, JCAP, 2020, 059."
653,2020,68.6,11.25,IND,"Nicolaou et al., 2020, MNRAS, 495, 90."
654,2020,69,21.5,IND,"Vasylyev and Filippenko, 2020, ApJ, 902, 149."
655,2020,69.6,1.9,IND,"Freedman et al., 2020, ApJ, 891, 57."
656,2020,70,23.5,IND,"Vasylyev and Filippenko, 2020, ApJ, 902, 149."
657,2020,70,9,IND,"Qi and Zhang, 2020, ChPhC, 44, 055101."
658,2020,70.4,1,IND,"Antipova et al., 2020, AstBu, 75, 93."
659,2020,71.5,11.25,IND,"Wang et al., 2020, NatAs, 4, 517."
660,2020,72.4,7.6,IND,"Dhawan et al., 2020, ApJ, 888, 67."
661,2020,72.8,3.8,IND,"Breuval et al., 2020, A&A, 643, A115."
662,2020,72.8,1.65,IND,"Liao et al., 2020, ApJL, 895, L29."
663,2020,73,3.8,IND,"Breuval et al., 2020, A&A, 643, A115."
664,2020,73.3,4,IND,"Huang et al., 2020, ApJ, 889, 5."
665,2020,73.8,6.05,IND,"Coughlin et al., 2020, NatCo, 11, 4129."
666,2020,73.9,3,IND,"Pesce et al., 2020, ApJL, 891, L1."
667,2020,75.1,3.8,IND,"Schombert et al., 2020, AJ, 160, 71."
668,2020,75.1,3.2,IND,"Kourkchi et al., 2020, ApJ, 902, 145."
669,2020,75.35,1.68,IND,"Camarena and Marra, 2020, PhRvR, 2, 013028."
670,2020,75.8,5.05,IND,"de Jaeger et al., 2020, MNRAS, 496, 3403."
671,2020,79,19,IND,"Coughlin et al., 2020, PhRvR, 2, 022006."
672,2020,85,19.5,IND,"Coughlin et al., 2020, PhRvR, 2, 022007."
673,2020,109,42,IND,"Coughlin et al., 2020, PhRvR, 2, 022008."
674,2020,65.9,1.5,LCDM,"Holanda et al., 2020, JCAP, 2020, 053."
675,2020,67.4,3.65,LCDM,"Birrer et al., 2020, A&A, 643, A165."
676,2020,67.4,0.5,LCDM,"Planck Collaboration et al., 2020, A&A, 641, A6."
677,2020,67.6,1.1,LCDM,"Aiola et al., 2020, JCAP, 2020, 047."
